gene1	K00001
gene2	K00002
gene3	K00003
gene4	K00004
gene5	K00005
gene6	K00006
gene7	K00007
gene8	K00008
gene9	K00009
gene10	K00010
gene11	K00011
gene12	K00012
gene13	K00013
gene14	K00014
gene15	K00015
gene16	K00016
gene17	K00018
gene18	K00019
gene19	K00020
gene20	K00021
gene21	K00023
gene22	K00024
gene23	K00025
gene24	K00026
gene25	K00027
gene26	K00028
gene27	K00029
gene28	K00030
gene29	K00031
gene30	K00032
gene31	K00033
gene32	K00034
gene33	K00035
gene34	K00036
gene35	K00037
gene36	K00038
gene37	K00039
gene38	K00040
gene39	K00041
gene40	K00042
gene41	K00043
gene42	K00044
gene43	K00045
gene44	K00046
gene45	K00048
gene46	K00050
gene47	K00051
gene48	K00052
gene49	K00053
gene50	K00054
gene51	K00055
gene52	K00057
gene53	K00058
gene54	K00059
gene55	K00060
gene56	K00062
gene57	K00064
gene58	K00065
gene59	K00066
gene60	K00067
gene61	K00068
gene62	K00071
gene63	K00073
gene64	K00074
gene65	K00075
gene66	K00076
gene67	K00077
gene68	K00078
gene69	K00079
gene70	K00081
gene71	K00082
gene72	K00086
gene73	K00087
gene74	K00088
gene75	K00090
gene76	K00091
gene77	K00094
gene78	K00096
gene79	K00097
gene80	K00098
gene81	K00099
gene82	K00100
gene83	K00101
gene84	K00102
gene85	K00103
gene86	K00104
gene87	K00105
gene88	K00106
gene89	K00108
gene90	K00109
gene91	K00111
gene92	K00112
gene93	K00113
gene94	K00116
gene95	K00117
gene96	K00118
gene97	K00119
gene98	K00120
gene99	K00121
gene100	K00122
gene101	K00123
gene102	K00124
gene103	K00125
gene104	K00127
gene105	K00128
gene106	K00129
gene107	K00130
gene108	K00131
gene109	K00132
gene110	K00133
gene111	K00134
gene112	K00135
gene113	K00137
gene114	K00138
gene115	K00140
gene116	K00141
gene117	K00143
gene118	K00145
gene119	K00146
gene120	K00147
gene121	K00148
gene122	K00150
gene123	K00151
gene124	K00153
gene125	K00154
gene126	K00155
gene127	K00156
gene128	K00158
gene129	K00161
gene130	K00162
gene131	K00163
gene132	K00164
gene133	K00166
gene134	K00167
gene135	K00169
gene136	K00170
gene137	K00171
gene138	K00172
gene139	K00174
gene140	K00175
gene141	K00176
gene142	K00177
gene143	K00179
gene144	K00180
gene145	K00183
gene146	K00184
gene147	K00185
gene148	K00186
gene149	K00187
gene150	K00188
gene151	K00189
gene152	K00192
gene153	K00193
gene154	K00194
gene155	K00196
gene156	K00197
gene157	K00198
gene158	K00200
gene159	K00201
gene160	K00202
gene161	K00203
gene162	K00204
gene163	K00205
gene164	K00207
gene165	K00208
gene166	K00209
gene167	K00210
gene168	K00214
gene169	K00215
gene170	K00216
gene171	K00217
gene172	K00218
gene173	K00219
gene174	K00220
gene175	K00221
gene176	K00224
gene177	K00226
gene178	K00228
gene179	K00230
gene180	K00231
gene181	K00234
gene182	K00235
gene183	K00239
gene184	K00240
gene185	K00241
gene186	K00242
gene187	K00243
gene188	K00244
gene189	K00245
gene190	K00246
gene191	K00247
gene192	K00248
gene193	K00249
gene194	K00252
gene195	K00253
gene196	K00254
gene197	K00255
gene198	K00256
gene199	K00257
gene200	K00258
gene201	K00259
gene202	K00260
gene203	K00261
gene204	K00262
gene205	K00263
gene206	K00264
gene207	K00265
gene208	K00266
gene209	K00271
gene210	K00273
gene211	K00274
gene212	K00275
gene213	K00276
gene214	K00278
gene215	K00281
gene216	K00282
gene217	K00283
gene218	K00284
gene219	K00285
gene220	K00286
gene221	K00287
gene222	K00288
gene223	K00290
gene224	K00291
gene225	K00293
gene226	K00294
gene227	K00297
gene228	K00298
gene229	K00299
gene230	K00301
gene231	K00302
gene232	K00303
gene233	K00309
gene234	K00311
gene235	K00313
gene236	K00314
gene237	K00316
gene238	K00317
gene239	K00318
gene240	K00319
gene241	K00320
gene242	K00322
gene243	K00324
gene244	K00325
gene245	K00326
gene246	K00327
gene247	K00328
gene248	K00329
gene249	K00330
gene250	K00331
gene251	K00332
gene252	K00333
gene253	K00334
gene254	K00335
gene255	K00336
gene256	K00337
gene257	K00338
gene258	K00339
gene259	K00340
gene260	K00341
gene261	K00342
gene262	K00343
gene263	K00344
gene264	K00346
gene265	K00347
gene266	K00348
gene267	K00349
gene268	K00350
gene269	K00351
gene270	K00353
gene271	K00354
gene272	K00355
gene273	K00356
gene274	K00358
gene275	K00359
gene276	K00360
gene277	K00362
gene278	K00363
gene279	K00364
gene280	K00366
gene281	K00368
gene282	K00369
gene283	K00370
gene284	K00371
gene285	K00372
gene286	K00373
gene287	K00374
gene288	K00375
gene289	K00376
gene290	K00378
gene291	K00380
gene292	K00381
gene293	K00382
gene294	K00383
gene295	K00384
gene296	K00385
gene297	K00386
gene298	K00387
gene299	K00389
gene300	K00390
gene301	K00394
gene302	K00395
gene303	K00397
gene304	K00399
gene305	K00400
gene306	K00401
gene307	K00402
gene308	K00404
gene309	K00405
gene310	K00406
gene311	K00407
gene312	K00411
gene313	K00412
gene314	K00413
gene315	K00414
gene316	K00421
gene317	K00423
gene318	K00425
gene319	K00426
gene320	K00427
gene321	K00428
gene322	K00429
gene323	K00432
gene324	K00433
gene325	K00435
gene326	K00436
gene327	K00437
gene328	K00440
gene329	K00441
gene330	K00442
gene331	K00443
gene332	K00446
gene333	K00448
gene334	K00449
gene335	K00450
gene336	K00451
gene337	K00455
gene338	K00457
gene339	K00459
gene340	K00462
gene341	K00467
gene342	K00470
gene343	K00477
gene344	K00480
gene345	K00481
gene346	K00483
gene347	K00484
gene348	K00492
gene349	K00493
gene350	K00494
gene351	K00495
gene352	K00496
gene353	K00499
gene354	K00500
gene355	K00504
gene356	K00505
gene357	K00507
gene358	K00508
gene359	K00510
gene360	K00511
gene361	K00514
gene362	K00517
gene363	K00518
gene364	K00520
gene365	K00521
gene366	K00523
gene367	K00524
gene368	K00525
gene369	K00526
gene370	K00527
gene371	K00528
gene372	K00529
gene373	K00532
gene374	K00533
gene375	K00534
gene376	K00535
gene377	K00536
gene378	K00537
gene379	K00538
gene380	K00539
gene381	K00540
gene382	K00543
gene383	K00547
gene384	K00548
gene385	K00549
gene386	K00551
gene387	K00554
gene388	K00555
gene389	K00556
gene390	K00557
gene391	K00558
gene392	K00559
gene393	K00560
gene394	K00561
gene395	K00563
gene396	K00564
gene397	K00565
gene398	K00566
gene399	K00567
gene400	K00568
gene401	K00569
gene402	K00571
gene403	K00573
gene404	K00574
gene405	K00575
gene406	K00577
gene407	K00578
gene408	K00579
gene409	K00580
gene410	K00581
gene411	K00582
gene412	K00583
gene413	K00584
gene414	K00586
gene415	K00587
gene416	K00588
gene417	K00590
gene418	K00591
gene419	K00595
gene420	K00598
gene421	K00599
gene422	K00600
gene423	K00602
gene424	K00603
gene425	K00604
gene426	K00605
gene427	K00606
gene428	K00607
gene429	K00609
gene430	K00610
gene431	K00611
gene432	K00612
gene433	K00613
gene434	K00614
gene435	K00615
gene436	K00616
gene437	K00619
gene438	K00620
gene439	K00621
gene440	K00624
gene441	K00625
gene442	K00626
gene443	K00627
gene444	K00631
gene445	K00632
gene446	K00633
gene447	K00634
gene448	K00635
gene449	K00637
gene450	K00638
gene451	K00639
gene452	K00640
gene453	K00641
gene454	K00645
gene455	K00646
gene456	K00647
gene457	K00648
gene458	K00649
gene459	K00650
gene460	K00651
gene461	K00652
gene462	K00653
gene463	K00655
gene464	K00656
gene465	K00657
gene466	K00658
gene467	K00660
gene468	K00661
gene469	K00662
gene470	K00663
gene471	K00666
gene472	K00667
gene473	K00669
gene474	K00670
gene475	K00671
gene476	K00672
gene477	K00673
gene478	K00674
gene479	K00675
gene480	K00676
gene481	K00677
gene482	K00680
gene483	K00681
gene484	K00683
gene485	K00684
gene486	K00685
gene487	K00687
gene488	K00688
gene489	K00689
gene490	K00690
gene491	K00691
gene492	K00692
gene493	K00693
gene494	K00694
gene495	K00695
gene496	K00696
gene497	K00697
gene498	K00698
gene499	K00700
gene500	K00701
gene501	K00702
gene502	K00703
gene503	K00705
gene504	K00710
gene505	K00712
gene506	K00713
gene507	K00720
gene508	K00721
gene509	K00726
gene510	K00728
gene511	K00729
gene512	K00734
gene513	K00737
gene514	K00743
gene515	K00745
gene516	K00748
gene517	K00750
gene518	K00752
gene519	K00754
