SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	11101	732217	592151
1	11101	30	30
0	11102	737749	599208
1	11102	36	36
0	11103	737193	597802
1	11103	32	32
0	11104	735048	590307
1	11104	34	34
0	12101	726689	592935
1	12101	28	28
0	12102	725497	588205
1	12102	31	31
0	12103	728430	592365
1	12103	36	36
0	12104	725708	586922
1	12104	26	26
0	13101	711341	583305
1	13101	26	26
0	13102	717734	586354
1	13102	32	32
0	13103	717225	583933
1	13103	31	31
0	13104	716160	582597
1	13104	39	39
0	21101	708410	562431
1	21101	38	38
0	21102	719489	574766
1	21102	35	35
0	21103	715012	572645
1	21103	34	34
0	21104	718424	567947
1	21104	34	34
0	22101	701258	573653
1	22101	39	39
0	22102	711833	575992
1	22102	29	29
0	22103	704743	572449
1	22103	44	44
0	22104	713933	577506
1	22104	44	44
0	23101	700454	577764
1	23101	27	27
0	23102	708563	580670
1	23102	39	39
0	23103	703383	572898
1	23103	33	33
0	23104	707727	577201
1	23104	37	37
